price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,lat,long,sqft_living15,sqft_lot15,sale_year,sale_month,house_age,is_renovated,log_price
268643,4,2.25,1810,9240,2.0,0,0,3,7,1810,0,98055,47.4362,-122.187,1660,9240,2015,5,54,0,12.501142362015882
245000,3,2.5,1600,2788,2.0,0,0,4,7,1600,0,98031,47.4034,-122.187,1720,3605,2014,7,22,0,12.409017571151187
200000,4,2.5,1720,8638,2.0,0,0,3,8,1720,0,98003,47.2704,-122.313,1870,7455,2015,1,21,0,12.206077645517674
352499,2,2.25,1240,705,2.0,0,0,3,7,1150,90,98027,47.5321,-122.073,1240,750,2015,4,6,0,12.772805901234461
232000,3,2.0,1280,13356,1.0,0,0,3,7,1280,0,98042,47.3715,-122.074,1590,8071,2014,12,20,0,12.354496960983985
722500,4,3.5,2600,5100,2.0,0,0,3,8,1820,780,98117,47.6948,-122.395,2000,6720,2014,9,11,0,13.490474083050811
299995,2,1.0,1060,7200,1.0,0,0,4,6,1060,0,98155,47.7463,-122.315,1850,8291,2014,6,63,0,12.611524420216115
880000,3,2.0,2130,35169,1.0,0,0,4,8,2130,0,98072,47.7489,-122.123,2860,43560,2014,5,25,0,13.68767832281738
175000,3,1.0,1070,6164,1.0,0,0,3,7,1070,0,98001,47.3377,-122.291,1320,7920,2015,3,48,0,12.07254696717504
320000,3,2.25,998,844,2.0,0,0,3,7,798,200,98117,47.6983,-122.367,998,1110,2014,5,7,0,12.676079399771027
475000,5,2.5,2510,8050,1.0,0,0,4,7,1490,1020,98034,47.7212,-122.172,1840,8471,2014,7,37,0,13.07107218827772
995000,5,3.25,3970,8029,2.0,0,2,3,9,2970,1000,98177,47.7764,-122.385,2520,8214,2014,11,35,0,13.81049902116535
1285000,4,3.5,4080,14450,2.0,0,2,3,12,3210,870,98006,47.5519,-122.106,4080,12114,2014,7,16,0,14.06627005452127
239900,4,2.25,1860,7000,1.0,0,0,3,8,1120,740,98023,47.3127,-122.339,1990,8937,2014,5,35,0,12.3879816172226
340000,4,1.75,1400,8374,1.0,0,0,3,7,1400,0,98166,47.4735,-122.344,1420,8360,2015,5,62,0,12.73670383776449
680000,4,2.5,3290,6012,2.0,0,0,3,9,3290,0,98075,47.5961,-121.98,3210,6005,2015,2,10,0,13.429849547739444
235245,4,2.5,1954,5075,2.0,0,0,3,8,1954,0,98001,47.2606,-122.253,1934,5000,2015,1,8,0,12.368387054114972
416000,3,2.5,1800,5372,2.0,0,0,3,8,1800,0,98034,47.7188,-122.177,1650,6014,2014,11,27,0,12.938442943086665
420000,4,2.5,2030,8100,1.0,0,0,3,7,1150,880,98034,47.7404,-122.186,1770,8071,2014,7,41,0,12.948012371209098
257000,3,1.75,1330,36537,1.0,0,0,4,7,1330,0,98092,47.3126,-122.129,1650,35100,2015,2,26,0,12.456835254920371
380000,0,0.0,1470,979,3.0,0,2,3,8,1470,0,98133,47.7145,-122.356,1470,1399,2015,2,9,0,12.847929163278053
399000,3,2.0,2100,31550,1.0,0,0,3,8,2100,0,98014,47.6907,-121.917,1860,18452,2014,8,4,0,12.896719202134523
339900,3,2.5,1470,4675,2.0,0,0,3,7,1470,0,98065,47.5261,-121.827,1500,4385,2015,1,16,0,12.736409677721657
585000,4,1.75,1760,5356,1.0,0,0,4,7,920,840,98115,47.679,-122.288,1680,5184,2014,11,64,0,13.279368835614243
310000,2,1.0,1050,8220,1.0,0,0,4,6,780,270,98155,47.7598,-122.316,1340,7651,2014,10,67,0,12.644330802262578
498000,4,2.75,2270,7375,1.0,0,0,4,7,1290,980,98034,47.7222,-122.168,1750,7760,2014,5,41,0,13.118357364036902
360000,4,2.5,2080,4080,1.0,0,0,5,7,1040,1040,98144,47.572,-122.29,1340,4080,2014,7,52,0,12.793862088206213
265000,3,1.5,1780,10196,1.0,0,0,4,7,1270,510,98001,47.3375,-122.291,1320,7875,2015,4,48,0,12.487488878546145
820000,4,2.75,3540,13515,2.0,0,0,3,10,3540,0,98075,47.5945,-121.982,3540,11538,2014,12,16,0,13.617060838751888
419900,4,2.5,2750,5767,2.0,0,0,3,9,2750,0,98038,47.3595,-122.038,2800,5376,2014,7,9,0,12.947774248188859
485000,4,1.0,1150,2560,1.5,0,0,3,7,1150,0,98109,47.6368,-122.355,1890,3000,2014,7,105,0,13.091906231773164
683000,5,1.5,1720,4000,1.5,0,0,3,7,1520,200,98112,47.6197,-122.287,2280,4000,2015,4,90,0,13.434251602680698
320000,3,2.5,1820,1855,2.0,0,0,3,8,1570,250,98166,47.4643,-122.346,1470,6900,2014,7,6,0,12.676079399771027
598000,5,2.25,2890,12478,2.0,0,0,3,9,2890,0,98074,47.6295,-122.052,2570,11880,2014,5,37,0,13.301347705172173
420000,3,2.5,2140,3821,2.0,0,0,3,8,2140,0,98029,47.5541,-121.995,2860,3841,2014,6,9,0,12.948012371209098
535000,3,1.0,1660,5100,1.0,0,0,3,7,1260,400,98136,47.5323,-122.383,1230,5100,2014,8,57,0,13.190023895035274
415000,3,1.75,1910,12596,1.0,0,0,3,7,1340,570,98072,47.7399,-122.099,1550,13310,2014,6,37,0,12.936036208848487
234975,3,1.75,1650,8073,1.0,0,0,3,7,1100,550,98092,47.3187,-122.182,1280,8073,2015,3,35,0,12.367238660251337
299000,4,2.5,1950,3000,2.0,0,0,3,7,1950,0,98178,47.4977,-122.226,1170,6000,2014,9,12,0,12.608202196848836
455000,3,2.25,1790,7500,1.0,0,0,3,7,1390,400,98034,47.7321,-122.198,1940,7192,2015,4,42,0,13.02805489573287
581000,2,1.0,1170,4080,1.0,0,0,4,7,1170,0,98117,47.6784,-122.386,1560,4586,2015,5,106,0,13.272507757002963
960000,5,4.0,3720,15200,2.0,0,0,3,10,3720,0,98075,47.5956,-122.026,4100,19036,2014,5,9,0,13.774689605110144
465000,4,1.75,1470,5350,1.0,0,0,3,7,980,490,98125,47.7048,-122.315,1970,6138,2014,6,59,0,13.049794835104816
485000,3,1.0,1130,5758,1.0,0,0,3,7,960,170,98199,47.6413,-122.401,1510,6000,2014,10,75,0,13.091906231773164
539950,3,2.25,2190,7149,1.0,0,1,4,8,1240,950,98056,47.5243,-122.204,3500,7149,2014,6,51,0,13.199233673682526
212000,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,98092,47.2761,-122.152,1420,7680,2015,1,29,0,12.264346270624157
1050000,4,4.0,4320,8709,2.0,0,0,3,11,3190,1130,98027,47.5369,-122.07,4010,8321,2014,8,8,0,13.864301674514206
245700,3,2.25,1640,8400,1.0,0,0,3,8,1180,460,98032,47.3733,-122.289,1600,8120,2014,6,46,0,12.411870628505058
265000,3,1.75,1680,9769,1.0,0,0,3,8,1340,340,98058,47.4631,-122.126,1730,9686,2015,2,26,0,12.487488878546145
325500,3,1.5,1540,8110,1.0,0,0,4,7,1190,350,98125,47.7329,-122.291,1290,8110,2014,11,55,0,12.693120812822663
499900,4,2.25,2360,7650,1.0,0,0,3,8,1640,720,98155,47.75,-122.292,2320,11060,2015,4,52,0,13.12216535779974
539000,3,1.75,1380,3225,1.0,0,0,4,7,940,440,98103,47.6652,-122.338,1250,3750,2015,3,100,0,13.197472705176983
550000,4,2.5,1670,5116,2.0,0,0,3,8,1670,0,98155,47.7667,-122.33,1910,7210,2015,4,16,0,13.217675375388819
757500,5,2.25,3160,8065,2.0,0,0,3,8,3160,0,98027,47.5678,-122.089,2540,7917,2015,1,38,0,13.537780136496803
501000,2,2.0,1300,2500,1.0,0,0,4,7,770,530,98117,47.6831,-122.373,1160,5000,2015,5,89,0,13.124363376072994
355000,2,1.0,840,6720,1.0,0,0,3,7,840,0,98116,47.5707,-122.396,1250,6720,2014,8,62,0,12.779875885354993
530000,3,2.5,1970,6295,2.0,0,0,3,7,1970,0,98065,47.5158,-121.874,2710,6009,2014,7,3,0,13.180634172318978
170000,2,1.0,810,8424,1.0,0,0,4,6,810,0,98023,47.3286,-122.346,820,8424,2014,6,55,0,12.04355959836804
702000,4,2.5,2810,4922,2.0,0,0,3,9,2810,0,98074,47.614,-122.041,2920,4922,2015,3,10,0,13.461690107508359
395000,3,2.5,2300,8938,2.0,0,0,3,9,2300,0,98031,47.4181,-122.211,2570,9694,2015,3,26,0,12.886643575525625
409000,2,1.75,1480,4000,1.0,0,0,4,6,740,740,98117,47.6916,-122.38,1060,4000,2014,7,89,0,12.921472880009725
435000,4,2.5,2190,6578,2.0,0,0,3,7,2190,0,98065,47.5305,-121.847,2190,5416,2014,10,10,0,12.983103608918753
250000,4,2.0,2600,9000,1.0,0,0,3,8,1410,1190,98032,47.381,-122.299,2600,7200,2014,10,55,0,12.429220196836383
469995,4,2.5,2350,3800,2.0,0,0,3,8,2350,0,98059,47.4783,-122.123,2670,4180,2014,8,0,0,13.060479463011728
315000,3,2.5,2340,6837,2.0,0,0,3,7,2340,0,98030,47.3608,-122.194,1850,6209,2014,7,22,0,12.660331092405906
327000,4,1.0,1620,6000,1.5,0,0,5,7,1620,0,98055,47.4763,-122.206,1310,6000,2014,10,109,0,12.69771850797869
639000,4,2.5,2150,12028,2.0,0,0,4,8,2150,0,98052,47.7224,-122.101,1800,11777,2014,5,32,0,13.367661298303675
702000,3,2.5,2190,8528,1.0,0,0,3,8,1760,430,98033,47.6943,-122.209,2060,9811,2015,5,24,0,13.461690107508359
1443920,4,3.0,3720,5000,2.5,0,0,5,9,2720,1000,98102,47.6282,-122.322,2610,5000,2014,10,109,0,14.182872887797036
699000,3,2.5,2580,8154,1.0,0,0,3,10,2090,490,98177,47.7259,-122.361,1660,8155,2014,7,58,1,13.457407451830088
269000,3,2.25,1420,7297,1.0,0,0,3,7,1130,290,98031,47.4046,-122.194,1730,7419,2015,2,31,0,12.502470376049185
1050000,4,4.25,4390,13833,2.0,0,3,3,10,3320,1070,98029,47.5566,-122.026,3850,11652,2014,6,11,0,13.864301674514206
645000,4,2.25,2070,8720,1.0,0,0,5,8,1360,710,98033,47.6678,-122.182,2180,8510,2014,12,40,0,13.377007146164305
425590,3,2.75,1940,3088,2.0,0,3,3,8,1770,170,98065,47.5185,-121.878,1410,2335,2015,2,7,0,12.961234070169438
400000,4,2.0,2070,10800,2.0,0,0,3,7,2070,0,98011,47.7264,-122.237,1880,10800,2014,12,32,0,12.899222326086994
389000,4,1.0,1520,9800,1.5,0,0,4,7,1520,0,98034,47.7303,-122.236,1540,7700,2014,8,43,0,12.871337193291367
433500,3,1.75,1540,9450,1.0,0,0,4,6,1040,500,98103,47.6985,-122.348,1200,5400,2014,9,95,0,12.979649382005148
429900,4,1.5,1820,17918,1.0,0,0,4,8,1190,630,98056,47.521,-122.179,1890,15241,2015,2,53,0,12.971310228604022
1699000,3,3.25,4160,35153,3.0,0,2,3,12,3690,470,98040,47.5749,-122.214,3290,11533,2014,8,13,0,14.345550989235415
220000,3,1.0,1050,6300,1.0,0,0,3,6,1050,0,98146,47.5128,-122.374,740,6300,2014,6,72,0,12.301387370778713
299000,5,2.5,2220,9360,1.0,0,0,4,7,1110,1110,98058,47.4341,-122.169,1780,7704,2014,6,46,0,12.608202196848836
1050000,3,1.75,2650,5512,2.0,0,0,3,9,2250,400,98112,47.6265,-122.295,1440,5100,2015,2,31,0,13.864301674514206
154200,4,1.0,1310,8640,1.0,0,0,3,6,910,400,98146,47.5104,-122.342,1310,8640,2015,1,67,0,11.946012225174645
269500,2,1.0,800,1200,2.0,0,0,3,7,800,0,98103,47.6969,-122.347,806,1200,2014,8,15,0,12.504327379899443
779000,3,1.75,2320,6400,1.0,0,2,4,8,1420,900,98199,47.6449,-122.389,2540,7680,2014,8,57,0,13.565767608549109
262000,1,0.75,520,12981,1.0,0,0,5,3,520,0,98022,47.2082,-121.995,1340,12233,2015,2,95,0,12.476103599529843
957000,5,3.25,3160,5000,2.0,0,2,3,10,2180,980,98199,47.6464,-122.405,3160,5746,2014,6,9,0,13.771559715366624
340000,2,1.0,1280,9690,1.0,0,0,4,6,640,640,98118,47.5341,-122.279,1630,15884,2014,10,95,0,12.73670383776449
402000,3,3.5,1240,1666,2.0,0,0,3,7,1000,240,98136,47.5496,-122.388,1110,1027,2014,6,6,0,12.904209855160254
520000,3,2.25,2590,9263,1.0,0,0,5,8,1440,1150,98028,47.7691,-122.262,2580,9450,2014,11,37,0,13.161586013632684
618000,4,2.25,2530,8736,1.0,0,0,4,7,1210,1320,98008,47.6049,-122.126,1720,8500,2014,7,56,0,13.334245354561496
750000,4,3.25,2050,5000,2.0,0,0,4,8,1370,680,98112,47.6235,-122.298,1720,5000,2014,6,27,0,13.527829818844937
650000,2,2.5,1470,690,3.0,0,3,3,8,1470,0,98103,47.6523,-122.346,1480,1284,2015,4,7,0,13.384729180332174
268000,3,1.75,1970,10270,1.0,0,0,4,8,1970,0,98032,47.3619,-122.285,1970,8400,2014,6,48,0,12.498745990829315
339000,3,1.5,1740,21980,1.0,0,0,4,7,1740,0,98042,47.3644,-122.132,1400,16100,2015,4,42,0,12.733758336210744
280000,4,2.0,1710,5440,1.0,0,0,5,8,1030,680,98042,47.366,-122.093,1620,6696,2014,10,38,0,12.54254845357358
380000,3,2.0,2010,16736,2.0,0,0,4,6,2010,0,98133,47.7643,-122.352,1890,11477,2014,7,85,0,12.847929163278053
358000,3,2.25,1610,6655,2.0,0,0,4,7,1610,0,98058,47.4296,-122.161,1780,7529,2015,2,30,0,12.788291058675025
1430000,5,4.25,3350,3600,2.0,0,0,3,10,2260,1090,98119,47.6351,-122.364,1810,3600,2014,10,0,0,14.173185701536545
209950,4,1.0,1630,8400,1.0,0,0,3,6,1630,0,98023,47.3052,-122.362,1190,8989,2014,7,52,0,12.254629449139815
260000,3,1.75,1340,8000,1.0,0,0,3,7,1340,0,98038,47.3651,-122.044,1690,8000,2014,8,34,0,12.468440756144114
579000,3,2.5,2300,18540,1.0,0,0,3,8,1800,500,98177,47.7767,-122.369,2460,18540,2014,12,53,0,13.269059483669357
650000,3,1.75,1940,10245,1.0,0,0,3,7,1940,0,98040,47.5833,-122.241,2720,11448,2014,12,57,0,13.384729180332174
562500,5,2.75,2920,6327,2.0,0,0,3,8,2920,0,98059,47.4935,-122.145,2520,5026,2014,9,7,0,13.24014819083691
430000,3,1.75,1200,4500,1.0,0,0,5,7,1200,0,98108,47.5553,-122.316,1340,4500,2014,5,108,0,12.971542813248437
329000,4,2.0,1190,7877,1.5,0,0,5,7,1190,0,98155,47.7538,-122.322,1480,9975,2014,12,68,0,12.703816069256568
550000,3,2.25,2160,37000,1.5,0,0,4,7,1760,400,98052,47.7297,-122.139,2540,37000,2014,9,81,0,13.217675375388819
650000,4,2.0,2850,4497,1.5,0,1,3,7,1730,1120,98144,47.5876,-122.292,2450,6000,2014,11,104,0,13.384729180332174
675000,3,2.25,2070,2833,2.0,0,2,3,8,1490,580,98136,47.5543,-122.398,1940,3794,2014,12,48,0,13.42246945133505
455000,2,1.0,1170,6000,1.0,0,0,4,7,970,200,98103,47.6994,-122.354,2130,6002,2014,6,73,0,13.02805489573287
665000,6,3.0,2480,9720,2.0,0,0,3,8,2480,0,98007,47.6127,-122.145,2480,9200,2015,1,43,0,13.407543823396258
